osmid,surface,highway,maxspeed,lit,sidewalk,cycleway,oneway,reversed,length,geometry,lanes,source:maxspeed,cycleway:left,cycleway:right,cycleway:both,width,oneway:bicycle,access,parking:lane:both,parking:lane:left,lane_score,maxspeed_score,parking,parking_score,facility_type,separated_bike_la,shared_bike_lane,no_access_bike,cycle_track,dirt_cycle_track,no_bike_infra,path_cycle,score
5368838,sett,residential,30,yes,both,no,False,True,168.614,"LINESTRING (9.9668845 53.5826242, 9.9670054 53.5825523, 9.9672578 53.5824021, 9.9682481 53.5817468, 9.9686092 53.5815062)",2,,,,,,,,,,2,3,0,0,dirt_cycle_track,0,0.0,0.0,0.0,1.0,0.0,0.0,4.1312890403179985
142762606,asphalt,primary,50,yes,,track,False,True,41.442,"LINESTRING (9.9668845 53.5826242, 9.9670256 53.5828079, 9.967142 53.5829641)",4,DE:urban,,,,,,,,,4,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,5.285349233390091
142762609,asphalt,primary,50,yes,both,track,False,False,126.84100000000001,"LINESTRING (9.9668845 53.5826242, 9.9668043 53.5825186, 9.9665419 53.5821936, 9.9665272 53.5821753, 9.9663518 53.5819715, 9.9661614 53.581776, 9.9659749 53.5816222)",4,DE:urban,,,,,,,,,4,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,5.285349233390091
50390277,asphalt,primary,50,yes,right,,True,False,124.89800000000001,"LINESTRING (9.9707644 53.5830878, 9.969929 53.5838783, 9.9698913 53.583914, 9.9697816 53.5840468)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
20339701,asphalt,primary,50,yes,right,,True,False,98.88400000000001,"LINESTRING (9.9728782 53.5812683, 9.9722446 53.58185, 9.972184 53.5819056, 9.9720428 53.5820054)",2,,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
"[5112440, 369377046, 1185539895]",asphalt,tertiary,50,yes,both,no,False,True,141.64,"LINESTRING (9.9576257 53.5805084, 9.9577326 53.5805577, 9.9577752 53.5805779, 9.9579235 53.5806032, 9.9584109 53.5806425, 9.9593042 53.5807044, 9.9596625 53.5807292, 9.9597119 53.58073)",2,,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
136965454,asphalt,residential,30,yes,,no,True,False,10.755,"LINESTRING (9.97556 53.5789704, 9.9754086 53.5789347)",2,,,,,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
"[391821257, 20339701, 1150179183]",asphalt,primary,50,yes,right,,True,False,163.982,"LINESTRING (9.97556 53.5789704, 9.9754058 53.5790847, 9.9751293 53.5793045, 9.9746629 53.5796786, 9.9740944 53.5801607)",2,,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
137247324,asphalt,residential,30,yes,both,no,False,True,53.67,"LINESTRING (9.9747286 53.5787443, 9.9745632 53.5787076, 9.9744065 53.5786651, 9.9739992 53.578533)",2,,,,,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
"[391821201, 624777761]",asphalt,residential,30,yes,"['right', 'separate']",,True,False,44.063,"LINESTRING (9.9747286 53.5787443, 9.974957 53.5787545, 9.9751187 53.5787748, 9.9751972 53.5787896, 9.975379 53.5788239)",2,,no,track,,,,,,,2,3,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,3.346678023850059
400296519,,service,30,yes,,,False,False,14.396,"LINESTRING (9.9597119 53.58073, 9.9596979 53.5808592)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
"[5112440, 369377046, 1185539895]",asphalt,tertiary,50,yes,both,no,False,False,141.64000000000001,"LINESTRING (9.9597119 53.58073, 9.9596625 53.5807292, 9.9593042 53.5807044, 9.9584109 53.5806425, 9.9579235 53.5806032, 9.9577752 53.5805779, 9.9577326 53.5805577, 9.9576257 53.5805084)",2,,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
"[54499793, 1185539894]",asphalt,tertiary,50,yes,both,no,False,True,63.92399999999999,"LINESTRING (9.9597119 53.58073, 9.9598077 53.5807276, 9.959873 53.5807141, 9.9599595 53.5806748, 9.9602803 53.5805292, 9.9605082 53.5804222)",2,,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
142762618,asphalt,residential,30,yes,both,,False,True,68.545,"LINESTRING (9.9628759 53.5810611, 9.9621579 53.5815064)",2,,,,no,6.8,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
9897692,asphalt,residential,30,yes,both,no,False,False,63.471,"LINESTRING (9.9628759 53.5810611, 9.9625124 53.5807635, 9.9623992 53.5806698, 9.9623129 53.5805984)",2,,,,,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
142762611,asphalt,residential,30,yes,both,opposite,True,False,139.245,"LINESTRING (9.9628759 53.5810611, 9.9634789 53.5815758, 9.9641205 53.5820717)",2,,,,,,no,,,,2,3,0,0,cycle_track,0,0.0,0.0,1.0,0.0,0.0,0.0,3.618398637137989
"[142762618, 142762619]",asphalt,residential,30,yes,both,,False,False,123.25399999999999,"LINESTRING (9.9628759 53.5810611, 9.9633813 53.5808024, 9.9638779 53.5805824, 9.9642087 53.5804574, 9.9643721 53.5804022)",2,,,,no,6.8,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
